airline,avail_seat_km_per_week,incidents_85_14,fatal_accident_85_14,fatalities_85_14
Aer Lingus,320906734,2,0,0
Aeroflot*,1197672318,82,15,216
Aerolineas Argentinas,385803648,7,0,0
Aeromexico*,596871813,8,1,64
Air Canada,1865253802,4,0,0
Air France,3004002661,20,6,416
Air India*,869253552,6,2,487
Air New Zealand*,710174817,8,1,7
Alaska Airlines*,965346773,10,1,88
Alitalia,698012498,11,2,50
All Nippon Airways,1841234177,10,1,1
American*,5228357340,38,8,517
Austrian Airlines,358239823,2,0,0
Avianca,396922563,5,3,323
British Airways*,3179760952,10,0,0
Cathay Pacific*,2582459303,2,0,0
China Airlines,813216487,14,7,760
Condor,417982610,2,1,16
COPA,550491507,3,1,47
Delta / Northwest*,6525658894,48,14,458
Egyptair,557699891,12,4,296
El Al,335448023,2,1,4
Ethiopian Airlines,488560643,30,7,259
Finnair,506464950,1,0,0
Garuda Indonesia,613356665,14,5,282
Gulf Air,301379762,4,1,143
Hawaiian Airlines,493877795,1,0,0
Iberia,1173203126,9,1,148
Japan Airlines,1574217531,3,1,520
Kenya Airways,277414794,4,2,283
KLM*,1874561773,8,1,3
Korean Air,1734522605,13,5,425
LAN Airlines,1001965891,3,2,21
Lufthansa*,3426529504,9,1,2
Malaysia Airlines,1039171244,6,3,571
Pakistan International,348563137,18,5,280
Philippine Airlines,413007158,9,5,75
Qantas*,1917428984,6,0,0
Royal Air Maroc,295705339,8,3,51
SAS*,682971852,11,1,110
Saudi Arabian,859673901,18,2,313
Singapore Airlines,2376857805,4,3,89
South African,651502442,3,1,159
Southwest Airlines,3276525770,9,0,0
Sri Lankan / AirLanka,325582976,6,1,14
SWISS*,792601299,5,1,229
TACA,259373346,4,2,6
TAM,1509195646,15,5,286
TAP - Air Portugal,619130754,0,0,0
Thai Airways,1702802250,10,5,309
Turkish Airlines,1946098294,16,5,148
United / Continental*,7139291291,33,10,428
US Airways / America West*,2455687887,27,9,247
Vietnam Airlines,625084918,8,3,171
Virgin Atlantic,1005248585,1,0,0
Xiamen Airlines,430462962,11,1,82
